50,30,0
"[29.35688232322365, 57.47283309428827]","[57.39752554742789, 69.31363601537936]","[20, 66]","[30, 45]","[40, 51]","[50, 59]","[60, 43]","[70, 63]"
"[28.810614757344656, 60.42267916864146]","[57.43975590653263, 70.33734960748781]","[20, 64]","[30, 44]","[40, 54]","[50, 61]","[60, 43]","[70, 64]"
"[29.12254075442051, 59.46329438855288]","[57.68658423750738, 69.3655662588696]","[20, 64]","[30, 47]","[40, 53]","[50, 62]","[60, 44]","[70, 63]"
"[29.239022927433858, 58.467973079665676]","[57.293190240255, 70.31101965800568]","[20, 66]","[30, 45]","[40, 52]","[50, 58]","[60, 44]","[70, 64]"
"[29.292987003706116, 57.460963903296296]","[57.11533972971392, 71.29507735294074]","[20, 66]","[30, 44]","[40, 51]","[50, 57]","[60, 44]","[70, 65]"
"[29.12254075442051, 59.46329438855288]","[57.235468536911235, 72.33234980102539]","[20, 65]","[30, 46]","[40, 53]","[50, 60]","[60, 44]","[70, 66]"
"[29.228335392979663, 57.448879386755756]","[57.03583830901952, 74.32787492269571]","[20, 63]","[30, 46]","[40, 51]","[50, 61]","[60, 43]","[70, 68]"
"[29.302509582321324, 58.47962230515757]","[57.33701563943957, 71.33478139724488]","[20, 67]","[30, 45]","[40, 52]","[50, 61]","[60, 43]","[70, 65]"
"[29.174793279184755, 58.45611513856984]","[57.55130982431047, 71.37249158290689]","[20, 65]","[30, 45]","[40, 52]","[50, 61]","[60, 46]","[70, 65]"
"[29.420032397506635, 57.48449087576804]","[57.207662383991455, 73.34274741461171]","[20, 66]","[30, 46]","[40, 51]","[50, 60]","[60, 45]","[70, 67]"
"[28.992703742345864, 59.43939711730295]","[57.13507764435289, 73.33005024923595]","[20, 64]","[30, 45]","[40, 53]","[50, 60]","[60, 44]","[70, 67]"
"[29.42729269374768, 58.502310742753956]","[57.36688839860665, 70.3242987338859]","[20, 68]","[30, 46]","[40, 52]","[50, 58]","[60, 45]","[70, 64]"
